year,month,CLOUDY_PIXEL_PERCENTAGE,volume_m2_area_fmask_deepwatermap,volume_km2_area_fmask_deepwatermap,volume_m2_area_deepwatermap,volume_km2_area_deepwatermap,volume_km2_area_ndwi,volume_m2_area_fmask_ndwi,volume_km2_area_fmask_ndwi,volume_m2_area_mndwi,volume_km2_area_mndwi,volume_m2_area_fmask_mndwi,volume_km2_area_fmask_mndwi,volume_m2_area_ndwi
2018,1,32.785767,7.664241539214224,8.604848858282243e-07,28.0397171729114,1.8709123744984024e-06,2.610396654366036e-08,1.451280857061413,3.0426050245453267e-07,6.221541904583941,7.630785209965028e-07,9.513459942800539,9.8108407553948e-07,0.0718209023049477
2018,5,86.369771,7.026896017878245,8.189195665072884e-07,44.8641,2.7377237029544218e-06,0.0,0.3821071029714147,1.0618963513570553e-07,44.8641,7.338870455223332e-06,1.1974082594178328,2.6503331102433497e-07,0.0
2018,12,80.338374,4.729258976502577,6.566788322019565e-07,35.504895458876746,2.1908707322583524e-06,0.0,0.17242418746278199,5.0670666654398455e-08,44.8641,3.959223098894404e-06,1.2706815785824153,2.7673117004859235e-07,0.0
2018,12,27.804513,1.3912710961916783,2.959829139695668e-07,14.802487252578976,1.2420817149851526e-06,4.061930920836843e-08,44.8641,2.9327496002234217e-06,1.1722436851592897,2.610158644907517e-07,44.8641,9.809629613425117e-06,0.1303906203203237
2018,12,0.0101,4.091892917017657,6.107677789264133e-07,4.837891008899114,6.644242899986031e-07,8.1002115888595e-08,34.488342473380925,2.1451961815109513e-06,1.0749159935416888,2.4547779922115735e-07,44.8641,7.694178153061128e-06,0.29048742997526067
2019,1,5.727695,6.754707366796773,8.010931884485937e-07,6.677172290238941,7.955649418532773e-07,9.96266899797681e-09,9.272564376838721,9.653737570591495e-07,0.9951664971782171,2.3274603851546316e-07,44.8641,3.6053333233625795e-06,0.02347791842752459
2019,1,99.562914,5.633558452292063,7.211553339366372e-07,18.363664208707505,1.4220010132690906e-06,0.0,0.16537738355948753,4.898558614138755e-08,44.8641,9.80942283308883e-06,1.1061866777306137,2.5047006734009545e-07,0.0
2019,1,55.041655,5.488439325044783,7.108083483304299e-07,44.8641,2.917643001238359e-06,0.0,38.183833082309896,2.3287812689810885e-06,44.8641,5.5099574608575675e-06,44.8641,6.878784206983919e-06,0.0
2019,1,60.155056,3.9234528601934073,5.906355012183355e-07,0.5141598710926321,1.424927732054846e-07,0.0,0.305112166509858,8.5022658867007e-08,1.529910492628413,3.130654291390885e-07,1.6457178725922157,3.260335102291111e-07,0.0
2019,1,17.000902,1.4341207625313137,3.0233891941338e-07,12.178121284994969,1.1122713898512766e-06,1.560916685736429e-08,44.8641,2.9310940825264294e-06,0.8767449712556608,2.138404077691887e-07,44.8641,9.755541785461945e-06,0.040389108758271494
2019,1,39.910919,13.702625152825036,1.1859123645514554e-06,44.8641,2.9328087258554574e-06,0.0,0.4364121908388534,1.2111885722466193e-07,44.8641,4.099626947233533e-06,13.654084194925472,1.1834334046206988e-06,0.0
2019,1,4.985979,13.702625152825036,1.1859123645514554e-06,4.129295041854532,6.139014374242933e-07,2.0102714892060057e-08,0.4364121908388534,1.2111885722466193e-07,0.7927397013043472,2.0042922595855026e-07,13.654084194925472,1.1834334046206988e-06,0.053847228812059604
2019,2,86.389193,9.720882101306204,9.946113821006897e-07,44.8641,2.9328087258554574e-06,0.0,8.821073523886636,9.359291923054851e-07,44.8641,9.561581830024387e-06,44.8641,4.208541104360899e-06,0.0
2019,2,51.869733,1.3657167738529354,2.919032453591194e-07,16.217257237736142,1.3143332373324982e-06,0.0,0.18058364461396506,5.2621812511569e-08,1.2999168927945457,2.813984976390788e-07,9.207715348558143,9.611445431117689e-07,0.0
2019,2,28.905664,2.888325638740411,4.6691511618411285e-07,16.217257237736142,1.3143332373324982e-06,0.0,4.7454293935387035,6.57831782026648e-07,1.2999168927945457,2.813984976390788e-07,33.497058675387386,2.103221880474992e-06,0.0
2019,2,68.405356,2.8571605180945143,4.6319020136587826e-07,28.049615616333316,1.8713558167386686e-06,0.0,4.444410861020056,6.363691775977721e-07,24.328168705688082,1.7046380122570529e-06,40.85628046681783,2.4663576910436673e-06,0.0
2019,2,12.341981,2.467686456151916,4.18077344122814e-07,1.3642353638622837,2.9166674283097744e-07,0.0,13.08198110455751,1.1552557243410638e-06,2.1606518263264847,3.836956840052482e-07,44.8641,4.896381122996838e-06,0.0
2019,2,39.351077,6.152670301759481,7.581679795908419e-07,11.87165437230973,1.0976969215545328e-06,1.5963920649576898e-09,26.117439460374968,1.7847958914387392e-06,3.1764617511181394,5.013536953527656e-07,44.8641,5.877287958248071e-06,0.0016282704362672426
2019,3,38.47926,0.8583338520547062,2.1090112947052432e-07,14.262975948910201,1.2145291704566235e-06,0.0,8.589888448579842,9.208521561364398e-07,5.7711904660989255,7.309684887758773e-07,44.8641,3.6112117929227495e-06,0.0
2019,3,70.652902,2.0928043910328213,3.760981453776297e-07,3.042419846378456,4.85332750563162e-07,0.0,44.8641,2.862271846837141e-06,20.29716998985911,1.515552164746267e-06,44.8641,8.964872859595101e-06,0.0
2019,3,47.354245,2.46953446633208,4.1828428383493815e-07,44.8641,2.8439429009061454e-06,0.0,0.861852200782504,2.114628229748613e-07,24.901836270181995,1.7303378540527694e-06,15.163205365965842,1.2605033899598081e-06,0.0
2019,3,7.013017,2.9570867779432626,4.751335790370433e-07,10.938577625980036,1.0533231347119123e-06,0.0,33.52696426029289,2.1044881838545296e-06,2.7609996841178104,4.516968745957542e-07,44.8641,7.779223951371322e-06,0.0
2019,3,82.044876,2.2657253436053604,3.954617898692464e-07,44.8641,2.765453624379058e-06,0.0,16.68904019105165,1.3384269323869524e-06,44.8641,3.107288113390412e-06,44.8641,4.684638058638563e-06,0.0
2019,3,23.621763,3.9286470469677233,5.91256320354708e-07,2.6795687988583734,4.4196409946514413e-07,0.0,31.50157704448436,2.0187264545870797e-06,1.200923898468659,2.6559457193711506e-07,44.8641,7.094249317395365e-06,0.0
2019,4,73.84118,3.3201851676906933,5.185317929510789e-07,13.779615499807813,1.189844219081814e-06,0.0,5.769555805826659,7.308519375904545e-07,36.23759617149907,2.2285898443612245e-06,44.8641,4.574453679445433e-06,0.0
2019,4,47.41082,3.423574218722319,5.308890500464922e-07,3.8433139785325294,5.810571488285891e-07,0.0,1.0825822893896169,2.4670169966800187e-07,44.8641,3.082090452411393e-06,6.876809153044977,8.091314558925057e-07,0.0
2019,4,41.49299,3.816106333524208,5.778052390666381e-07,34.11133140942483,2.1292322608613745e-06,0.0,7.803859192536753,8.695902331616868e-07,33.65332800556041,2.1098388512361876e-06,44.8641,3.954171750679384e-06,0.0
2019,4,24.399447,4.097829130474019,6.114772865108391e-07,28.893917185454754,1.9083093367608376e-06,2.805511240083087e-08,15.515660993051,1.2785031043190027e-06,44.8641,2.7761146348021566e-06,44.8641,5.764710835163616e-06,0.0778486613922509
2019,4,6.789882,2.2831494395897702,3.9741293572641695e-07,3.4411355168640543,5.329880099837515e-07,7.36705375161966e-08,0.5890041110049832,1.6306849315382847e-07,2.6212433648613374,4.352726078849283e-07,2.1139595569561123,3.7846709550198166e-07,0.26381879276511255
2019,4,20.549261,2.7629231294747796,4.51926768463121e-07,20.584653953960245,1.5294618494935584e-06,6.796491402477365e-08,24.001152256768947,1.6899879404698617e-06,37.291131314523696,2.2828253725645992e-06,44.8641,4.774971525548106e-06,0.24306457106527954
2019,5,42.10787,1.832498957083929,3.4694920878414266e-07,25.88317629938958,1.774301091752443e-06,6.645721040786916e-08,44.8641,2.9328087258554574e-06,44.8641,3.1029752663764177e-06,44.8641,9.809688693521198e-06,0.23758029486480556
2019,5,1.717921,1.6228818023624074,3.2347633286606077e-07,2.663986238535425,4.4010164205602695e-07,1.0970761024181607e-07,44.8641,2.9328087258554574e-06,1.7974017985129154,3.4301903785271713e-07,44.8641,9.809688693521198e-06,0.39490374743918744
2019,5,95.66993,2.6252953243745205,4.35726345285402e-07,1.2966460330387968,2.80876314984504e-07,0.0,4.509507155242411,6.410105397125568e-07,3.435723921423521,5.323412057478311e-07,24.64401556016232,1.7187876952687177e-06,0.0
2019,5,83.330201,2.5255027746456356,4.2455160083069803e-07,44.8641,2.9328087258554574e-06,0.0,0.88148088315864,2.1459648147274126e-07,44.8641,9.809688693521198e-06,1.8380267108464594,3.475682052510395e-07,0.0
