cota,area,volume
8,50520.00,40350.00
10,191440.00,267353.00
12,244880.00,720513.00
14,316240.00,1262073.00
16,375200.00,1952567.00
16.5,394343.00,2136637.00
18,444560.00,2774314.00
20,498560.00,3713260.00
