m2_area_fmask_deepwatermap,km2_area_fmask_deepwatermap,m2_area_deepwatermap,km2_area_deepwatermap,km2_area_ndwi,m2_area_fmask_ndwi,km2_area_fmask_ndwi,m2_area_mndwi,km2_area_mndwi,m2_area_fmask_mndwi,km2_area_fmask_mndwi,year,month,m2_area_ndwi
3601719.590818891,3.601719590818891,13391685.378931344,13.391685378931346,0.006301876915424818,783303.6072219443,0.7833036072219443,32698076.1102961,32.6980761102961,834900.224466985,0.834900224466985,2019,1,6301.876915424818
2522030.8349183733,2.522030834918373,21819756.485524416,21.81975648552441,9.999404728723528,22878964.1414498,22.878964141449803,18366524.869525224,18.366524869525225,22929280.6899464,22.9292806899464,2019,1,9999404.728723528
1320932.4815691242,1.320932481569124,48347.21196052478,0.0483472119605247,0.00177240288246323,1049853.3073790534,1.0498533073790537,1043551.4304636284,1.0435514304636284,1086778.3674303703,1.0867783674303706,2019,1,1772.40288246323
1352638.799799855,1.352638799799855,3502563.4962277533,3.502563496227753,0.6387543054743875,32512663.075425085,32.51266307542508,712801.359230629,0.712801359230629,32518472.61820649,32.51847261820649,2019,1,638754.3054743875
4713803.932737764,4.713803932737764,12236177.166392123,12.236177166392125,5.475838705370149,3779156.8127188208,3.7791568127188206,13665423.157445112,13.665423157445112,3944778.015402329,3.944778015402329,2019,1,5475838.70537015
4713803.932737764,4.713803932737764,1207006.3629574596,1.2070063629574597,0.5985798401385543,3779156.8127188208,3.7791568127188206,668097.4198618343,0.6680974198618342,3944778.015402329,3.944778015402329,2019,1,598579.8401385542
9210488.512373785,9.210488512373782,32188313.34793432,32.18831334793431,26.46778457795743,13666506.29253995,13.66650629253995,31871939.433414627,31.871939433414628,14028470.347869664,14.028470347869662,2019,2,26467784.577957433
22357188.426217988,22.357188426217988,3537716.1533966074,3.5377161533966075,0.6393451064352086,2941597.983928141,2.941597983928141,937994.9921302628,0.9379949921302628,3203815.143705896,3.203815143705896,2019,2,639345.1064352086
23040548.20423437,23.04054820423437,3537716.1533966074,3.5377161533966075,0.6393451064352086,6828772.905650415,6.828772905650416,937994.9921302628,0.9379949921302628,7010739.601583307,7.010739601583307,2019,2,639345.1064352086
24621433.108564764,24.62143310856477,16735421.883525033,16.73542188352503,1.8590536900503214,7956710.406684655,7.956710406684655,5682126.707523509,5.682126707523509,8221192.30347889,8.22119230347889,2019,2,1859053.6900503214
19335339.978444982,19.335339978444985,22617337.78263287,22.61733778263287,0.7334793928593667,16077860.414131176,16.077860414131177,1278985.6133508277,1.2789856133508275,16321270.40998946,16.32127040998946,2019,2,733479.3928593667
18445199.86414123,18.44519986414123,25049074.53737242,25.049074537372423,0.640034374222833,19539954.044542685,19.53995404454269,1671178.984509219,1.6711789845092189,19590959.860826906,19.590959860826903,2019,2,640034.3742228331
16482165.2049864,16.482165204986398,27264381.206797853,27.264381206797854,0.7793649341498037,11766982.736673385,11.766982736673384,2436561.629252924,2.436561629252924,12037372.643075831,12.037372643075832,2019,3,779364.9341498037
18526336.529427323,18.52633652942732,27374664.052817788,27.37466405281779,0.4360111090859546,29870798.11228684,29.870798112286835,5051840.549154224,5.051840549154224,29882909.531983662,29.882909531983668,2019,3,436011.1090859546
19737872.366417747,19.737872366417747,26137329.907204844,26.137329907204844,1.0368556862409897,4003858.111484437,4.003858111484437,5767792.846842565,5.767792846842565,4201677.966532694,4.201677966532694,2019,3,1036855.6862409897
21645470.2020822,21.6454702020822,17316966.96262658,17.31696696262658,0.43463257351070544,25624219.27273174,25.62421927273174,1505656.248652514,1.505656248652514,25930746.50457108,25.93074650457108,2019,3,434632.57351070544
26780416.753058583,26.780416753058585,30800128.02365839,30.80012802365839,1.4284582564385602,15099690.956665078,15.09969095666508,10357627.044634707,10.357627044634707,15615460.19546188,15.615460195461878,2019,3,1428458.25643856
30898397.916808296,30.898397916808296,18720217.71140344,18.72021771140344,0.6493887227691668,22583957.52834648,22.58395752834648,885315.2397903835,0.8853152397903835,23647497.72465122,23.64749772465122,2019,3,649388.7227691668
30788508.938095573,30.78850893809557,29632114.52411512,29.63211452411512,0.47027756481357713,13988098.948880224,13.988098948880223,7428632.814537415,7.428632814537416,15248178.931484776,15.248178931484777,2019,4,470277.5648135771
31366410.744605392,31.366410744605396,26249877.49024126,26.24987749024126,0.03397105524721191,2288762.922220852,2.2887629222208514,10273634.84137131,10.273634841371312,2697104.852975019,2.697104852975019,2019,4,33971.05524721191
30792743.01164813,30.792743011648128,31247856.685133964,31.247856685133964,0.9459708051013473,12720732.42109221,12.72073242109221,7032796.170787293,7.032796170787293,13180572.502264615,13.180572502264615,2019,4,945970.8051013474
30751091.54391024,30.75109154391024,32184768.542169385,32.18476854216939,1.6553258253938534,17897231.97297968,17.89723197297968,9253715.449340524,9.253715449340524,19215702.78387872,19.21570278387872,2019,4,1655325.8253938535
27506905.001214903,27.506905001214903,31388368.846982576,31.388368846982576,0.8625694027987719,1039120.4232574704,1.0391204232574704,1450908.692949761,1.450908692949761,1261556.9850066055,1.2615569850066055,2019,4,862569.402798772
