cota,area,volume
59.4,0,0
60,5250,1575
61,26500,17450
62,93000,77200
63,216250,231825
64,582000,630950
65,1004000,1423950
66,1464750,2658325
67,2039750,4101575
68,2673250,6767075
69,3325250,9766325
70,3897750,13377825
71,4623000,17638200
72,5434250,22668250
73,6311000,28539450
74,7253500,35217000
75,8371250,41730750
75.2,8518250,44864100
